z,abs_crossline,gt_frac_3,gt_frac_4,gt_frac_5,gt_frac_6,pred_frac_3,pred_frac_4,pred_frac_5,pred_frac_6
0,809,0.05257978,0.04459672,0.13427893,0.19428651,0.06011398,0.05270613,0.16923016,0.12204999
1,810,0.05258311,0.04394837,0.13477434,0.19394072,0.06048636,0.05527626,0.16476483,0.12531503
2,811,0.05247671,0.04411794,0.13431551,0.19297983,0.06079890,0.05389311,0.16572240,0.12490607
3,812,0.05233041,0.04388520,0.13445183,0.19162993,0.06073573,0.05137950,0.16733164,0.12578717
4,813,0.05219742,0.04387190,0.13425233,0.19167315,0.06084545,0.05120993,0.16795340,0.12513216
5,814,0.05210100,0.04379875,0.13414594,0.19166650,0.06089533,0.05028893,0.16892427,0.12496260
6,815,0.05216749,0.04365911,0.13400962,0.19186932,0.06099507,0.04950093,0.16981534,0.12508894
7,816,0.05220407,0.04352611,0.13384337,0.19195909,0.06106822,0.04872624,0.17086268,0.12524521
8,817,0.05229384,0.04332994,0.13372700,0.19217853,0.06128434,0.05143602,0.17044374,0.11928701
9,818,0.05227057,0.04337649,0.13332469,0.19245117,0.06130761,0.05238029,0.16763088,0.12073334
10,819,0.05234039,0.04292763,0.13346101,0.19276371,0.06144061,0.05209102,0.16715543,0.12106915
11,820,0.05228387,0.04290768,0.13320167,0.19285681,0.06152373,0.05061810,0.16775058,0.12215639
12,821,0.05204780,0.04280128,0.13295230,0.19305630,0.06173320,0.05019251,0.16751784,0.12235256
13,822,0.05204447,0.04271816,0.13273286,0.19325247,0.06207234,0.04992984,0.16685951,0.12233261
14,823,0.05194140,0.04250537,0.13268299,0.19352511,0.06209561,0.04886256,0.16754776,0.12224949
15,824,0.05178181,0.04247545,0.13242032,0.19341207,0.06198589,0.04797814,0.16868155,0.12088628
16,825,0.05179511,0.04240562,0.13217428,0.19367806,0.06176977,0.05595122,0.15623317,0.11007042
17,826,0.05180176,0.04235242,0.13193489,0.19362153,0.06197259,0.05806252,0.15183434,0.11007375
18,827,0.05166876,0.04227263,0.13173207,0.19374456,0.06230175,0.05749729,0.15111284,0.11046941
19,828,0.05167209,0.04214628,0.13153257,0.19385760,0.06245802,0.05613409,0.15168805,0.11125408
