z,abs_crossline,gt_4_mean_y,gt_4_median_y,gt_4_std_y,gt_4_n,pred_4_mean_y,pred_4_median_y,pred_4_std_y,pred_4_n,gt_5_mean_y,gt_5_median_y,gt_5_std_y,gt_5_n,pred_5_mean_y,pred_5_median_y,pred_5_std_y,pred_5_n,gt_6_mean_y,gt_6_median_y,gt_6_std_y,gt_6_n,pred_6_mean_y,pred_6_median_y,pred_6_std_y,pred_6_n
0,809,133.18519347,133.00000000,8.74688591,13413,153.45830179,144.00000000,27.06509317,15852,175.55199822,174.00000000,20.04106448,40386,198.42689300,197.00000000,28.93601880,50898,250.69130985,250.00000000,31.05380724,58434,249.69957502,261.00000000,41.33157956,36708
1,810,132.53056438,133.00000000,6.42502856,13218,155.21016541,144.00000000,28.59904587,16625,175.51550512,174.00000000,20.12813279,40535,198.25543336,197.00000000,28.85179731,49555,250.50154295,250.00000000,31.39866383,58330,248.75152560,261.00000000,41.73951683,37690
2,811,132.77775266,133.00000000,7.69622396,13269,155.63205627,144.00000000,29.21367496,16209,175.42664059,174.00000000,20.16927268,40397,197.86216721,196.00000000,28.83951273,49843,249.58310505,250.00000000,29.89417982,58041,249.04221790,261.00000000,41.63260060,37567
3,812,132.40616713,132.00000000,6.43847921,13199,155.53432990,144.00000000,29.68981452,15453,175.37074039,174.00000000,20.22704590,40438,197.35179923,196.00000000,28.89868563,50327,248.72962610,249.00000000,28.88403529,57635,248.61167794,261.00000000,42.22145237,37832
4,813,132.34702539,132.00000000,6.44363424,13195,155.54973380,144.00000000,29.83907234,15402,175.29431869,174.00000000,20.26880648,40378,197.16349923,196.00000000,28.94394108,50514,248.50254996,249.00000000,28.91662026,57648,249.06236216,261.00000000,41.74589782,37635
5,814,132.26372125,132.00000000,6.45582383,13173,155.38400000,144.00000000,29.88631211,15125,175.18410747,174.00000000,20.32923287,40346,196.96651970,195.00000000,29.00030476,50806,248.25960171,249.00000000,28.94993029,57646,249.14982439,261.00000000,41.66899270,37584
6,815,132.19853781,132.00000000,6.46362859,13131,155.01806824,143.00000000,29.80338596,14888,175.06334202,173.00000000,20.38442921,40305,196.78376473,195.00000000,29.08093912,51074,248.04398080,249.00000000,28.98992817,57707,249.27175589,261.00000000,41.52819811,37622
7,816,132.15201283,132.00000000,6.46543193,13091,154.56049130,143.00000000,29.65751985,14655,174.97908334,173.00000000,20.44386505,40255,196.62427757,195.00000000,29.14607247,51389,247.81153220,249.00000000,29.03897380,57734,249.31317529,261.00000000,41.52057084,37669
8,817,132.11080417,132.00000000,6.47044325,13032,154.26031028,143.00000000,29.10826228,15470,174.86335157,173.00000000,20.50552495,40220,196.85500263,195.00000000,28.93631500,51263,247.61818339,248.00000000,29.08730347,57800,252.35880926,263.00000000,38.69234314,35877
9,818,132.35374828,132.00000000,7.80486200,13046,154.61939825,144.00000000,29.36572727,15754,174.70141400,173.00000000,20.55073059,40099,196.57470694,195.00000000,28.63637594,50417,247.40563560,248.00000000,29.15715490,57882,252.17093523,262.00000000,38.75719663,36312
10,819,131.96638525,132.00000000,6.46158678,12911,154.55052020,144.00000000,29.26371507,15667,174.59693572,173.00000000,20.61583013,40140,196.43286788,195.00000000,28.61274996,50274,247.21741755,248.00000000,29.22920917,57976,252.16571005,262.00000000,38.70894746,36413
11,820,131.89864394,132.00000000,6.49386458,12905,154.17656332,143.00000000,29.12949394,15224,174.48442414,173.00000000,20.66421011,40062,196.16433116,194.00000000,28.67190788,50453,246.95693400,248.00000000,29.29328569,58004,251.62008710,262.00000000,39.28194125,36740
12,821,131.87073720,132.00000000,6.52512433,12873,154.13924218,143.00000000,29.14614614,15096,174.36676920,173.00000000,20.71405616,39987,195.88611238,194.00000000,28.63470796,50383,246.73019427,248.00000000,29.35064405,58064,251.53107421,262.00000000,39.35002232,36799
13,822,131.80829701,132.00000000,6.56486954,12848,154.24885130,143.00000000,29.06611862,15017,174.24563513,173.00000000,20.77403221,39921,195.83385474,194.00000000,28.56205642,50185,246.49152659,248.00000000,29.43151789,58123,251.37686516,262.00000000,39.49662901,36793
14,823,131.74037860,131.00000000,6.58784221,12784,153.67596625,143.00000000,28.71094772,14696,174.10512204,172.00000000,20.84732203,39906,195.72608747,194.00000000,28.60110386,50392,246.42212868,247.00000000,29.80518202,58205,251.06426784,262.00000000,39.77752574,36768
15,824,131.65737769,131.00000000,6.61828897,12775,153.12695773,143.00000000,28.40178444,14430,173.98980591,172.00000000,20.89472893,39827,195.82733132,194.00000000,28.62725673,50733,245.99362225,247.00000000,29.56178680,58171,251.37936630,262.00000000,39.51622519,36358
16,825,131.55896189,131.00000000,6.63583866,12754,158.90836701,146.00000000,31.43723368,16828,173.85661460,172.00000000,20.93335101,39753,196.27993786,194.00000000,29.28218528,46989,245.75576385,247.00000000,29.64673706,58251,252.67600060,263.00000000,38.21146844,33105
17,826,131.48202230,131.00000000,6.65532311,12738,160.30527401,147.00000000,32.43913032,17463,173.74753660,172.00000000,20.96806517,39681,196.01248193,193.00000000,29.25035851,45666,245.47680049,247.00000000,29.68700247,58234,253.05473328,263.00000000,37.48007498,33106
18,827,131.41764983,131.00000000,6.68799647,12714,160.30422714,147.00000000,32.36634369,17293,173.63414942,172.00000000,21.02489450,39620,195.82072213,193.00000000,29.26042523,45449,245.23991351,247.00000000,29.77454367,58271,253.04412340,263.00000000,37.40227590,33225
19,828,131.36257494,131.00000000,6.71667531,12676,160.14949950,147.00000000,32.32199386,16883,173.51703741,172.00000000,21.06407152,39560,195.56249178,193.00000000,29.31176990,45622,245.02351428,246.00000000,29.84226858,58305,252.62926990,263.00000000,37.83921307,33461
20,829,131.28462145,131.00000000,6.76038634,12680,159.84286142,146.00000000,32.16504738,16705,173.41338064,172.00000000,21.08983929,39460,195.45219224,192.00000000,29.32581299,45547,244.76084422,246.00000000,29.93145394,58326,252.61730534,263.00000000,37.79749652,33481
21,830,131.55322835,131.00000000,8.13912983,12700,159.52114876,146.00000000,31.95606095,16644,173.23484521,172.00000000,21.12337546,39311,195.49324711,192.00000000,29.31638125,45462,244.48048831,246.00000000,29.99558434,58324,252.82773815,263.00000000,37.43648579,33362
22,831,132.09808202,131.00000000,10.16555846,12826,158.70977082,146.00000000,31.48108569,16232,173.08945711,172.00000000,21.14501677,39069,195.46294847,192.00000000,29.36157034,45990,244.18665638,246.00000000,30.08856424,58305,252.70177859,263.00000000,37.46199529,33341
23,832,132.66023315,131.00000000,11.84399509,12953,157.76813348,145.00000000,30.95455496,15703,172.92280738,171.00000000,21.14876339,38812,195.64124909,193.00000000,29.44770876,46818,243.91282720,245.00000000,30.17693969,58298,252.70649123,263.00000000,37.48556304,33137
24,833,133.43842702,131.00000000,13.58988934,13147,159.66984945,147.00000000,31.49254521,17071,172.78342343,171.00000000,21.17296692,38476,196.44986253,194.00000000,30.18187545,45465,243.63271817,245.00000000,30.29709760,58304,246.54669174,261.00000000,44.28667214,33507
25,834,135.63507213,132.00000000,17.45734602,13726,161.52840114,147.00000000,32.86547079,17869,172.50585151,171.00000000,21.15267545,37768,196.14648134,194.00000000,30.20208681,44463,243.36786400,245.00000000,30.39819676,58296,247.08750823,261.00000000,43.53304972,33414
26,835,136.62912303,132.00000000,18.96683347,14037,161.98496791,148.00000000,33.19431873,17762,172.31775601,171.00000000,21.14541738,37362,195.93721245,193.00000000,30.18141330,44340,243.13494554,245.00000000,30.49825109,58305,247.06397035,261.00000000,43.58663202,33453
