z,abs_crossline,overall_error,error_true_3,error_true_4,error_true_5,error_true_6,rate_3_to_2,rate_4_to_3,rate_5_to_4,rate_6_to_5,rate_6_to_8,mass_3_to_2,mass_4_to_3,mass_5_to_4,mass_6_to_5,mass_6_to_8
0,809,0.20780218,0.12008347,0.43666592,0.24040509,0.44480953,0.12008347,0.29777082,0.17303026,0.34267721,0.02839101,0.00631396,0.01327960,0.02323432,0.06657756,0.00551599
1,810,0.20797175,0.11830541,0.43070056,0.25849266,0.43500771,0.11805248,0.30867000,0.18381645,0.33272758,0.03005315,0.00620757,0.01356554,0.02477374,0.06452943,0.00582853
2,811,0.20750627,0.11582082,0.44713241,0.24982053,0.43212557,0.11556738,0.31388952,0.17667154,0.33398804,0.03077135,0.00606460,0.01384816,0.02372973,0.06445296,0.00593825
3,812,0.20422793,0.11392083,0.46026214,0.23596617,0.42583500,0.11360315,0.31631184,0.16289134,0.33552529,0.02692808,0.00594490,0.01388141,0.02190104,0.06429669,0.00516023
4,813,0.20294120,0.11102618,0.46191739,0.23203229,0.42582570,0.11083509,0.31906025,0.16204369,0.33671593,0.02716486,0.00578531,0.01399778,0.02175474,0.06453940,0.00520677
5,814,0.20217647,0.11276324,0.46952099,0.22708571,0.42601395,0.11250798,0.32528657,0.15865265,0.33877459,0.02841481,0.00586178,0.01424715,0.02128261,0.06493174,0.00544617
6,815,0.20061710,0.11338432,0.47262204,0.22252822,0.42568493,0.11325685,0.33028711,0.15548939,0.34040931,0.02978841,0.00590833,0.01442004,0.02083707,0.06531410,0.00571548
7,816,0.19827970,0.11336858,0.47261477,0.21773693,0.42512211,0.11330489,0.33144909,0.15175755,0.34300412,0.03065784,0.00591498,0.01442669,0.02031174,0.06584276,0.00588505
8,817,0.20715050,0.11559003,0.46408840,0.22451517,0.43839100,0.11559003,0.34085328,0.17098458,0.34600346,0.03705882,0.00604465,0.01476915,0.02286526,0.06649444,0.00712191
9,818,0.20771906,0.11494180,0.46788288,0.23519290,0.43388273,0.11481458,0.34025755,0.17731115,0.33868906,0.03863032,0.00600142,0.01475918,0.02363995,0.06518111,0.00743445
10,819,0.20610981,0.11453437,0.47323987,0.23624813,0.43228232,0.11447084,0.34497715,0.17862481,0.33707051,0.03898165,0.00599145,0.01480905,0.02383945,0.06497496,0.00751425
11,820,0.20474994,0.11224165,0.48058892,0.23159103,0.42978070,0.11211447,0.34567997,0.17213319,0.33783877,0.03875595,0.00586178,0.01483233,0.02292843,0.06515451,0.00747435
12,821,0.20324376,0.10521273,0.48566768,0.22964964,0.42938826,0.10514884,0.34692768,0.17133068,0.33606021,0.04047258,0.00547277,0.01484895,0.02277881,0.06487854,0.00781349
13,822,0.20425120,0.10432505,0.49595268,0.23366148,0.43058686,0.10426116,0.35530822,0.17376819,0.33609759,0.04328751,0.00542622,0.01517811,0.02306475,0.06495169,0.00836542
14,823,0.20646890,0.10382793,0.49976533,0.23179472,0.43329611,0.10382793,0.35974656,0.17025009,0.33811528,0.04657675,0.00539297,0.01529116,0.02258929,0.06543380,0.00901377
15,824,0.20813467,0.10902787,0.50160470,0.23064755,0.43837995,0.10902787,0.36610568,0.16641977,0.34467346,0.04586478,0.00564566,0.01555050,0.02203736,0.06666401,0.00887080
16,825,0.23902288,0.12447041,0.51089854,0.26843257,0.48059261,0.12447041,0.38042967,0.20431162,0.30682735,0.08669379,0.00644696,0.01613236,0.02700474,0.05942573,0.01679068
17,826,0.24104441,0.12618742,0.50816455,0.27811799,0.47741869,0.12618742,0.38687392,0.21158741,0.29127314,0.09406876,0.00653673,0.01638505,0.02791576,0.05639675,0.01821374
18,827,0.24174264,0.12368082,0.51746107,0.27794043,0.47527930,0.12368082,0.39468303,0.21168602,0.28815363,0.09378593,0.00639043,0.01668429,0.02788584,0.05582820,0.01817051
19,828,0.24135363,0.12167814,0.52690123,0.27297776,0.47253237,0.12167814,0.39744399,0.20682508,0.28836292,0.09217048,0.00628736,0.01675079,0.02720423,0.05590134,0.01786795
20,829,0.23969451,0.11880805,0.52965300,0.27103396,0.47164215,0.11874355,0.39921136,0.20514445,0.28695607,0.09338888,0.00612112,0.01683058,0.02691497,0.05564865,0.01811067
21,830,0.23968453,0.11944731,0.53188976,0.27295159,0.47196694,0.11938275,0.39984252,0.20620183,0.28775461,0.09394074,0.00614772,0.01688378,0.02695154,0.05580160,0.01821706
22,831,0.23953159,0.11666127,0.53843755,0.26837134,0.47224080,0.11659657,0.39544675,0.20184801,0.29458880,0.09235915,0.00599145,0.01686383,0.02622007,0.05710828,0.01790452
23,832,0.23919910,0.11724989,0.54458427,0.26288261,0.47504203,0.11718496,0.39218714,0.19486241,0.30609969,0.08851076,0.00600142,0.01689043,0.02514613,0.05933263,0.01715642
24,833,0.24553966,0.13750243,0.54993535,0.29576879,0.49744443,0.13064025,0.35924546,0.22242437,0.30445595,0.10988954,0.00670962,0.01570345,0.02845439,0.05902009,0.02130256
25,834,0.24678317,0.13427425,0.56032347,0.30629104,0.49488816,0.12877120,0.34889990,0.23120102,0.29295320,0.10762316,0.00661320,0.01592289,0.02903292,0.05678244,0.02086035
26,835,0.24734840,0.13034451,0.57704638,0.30659494,0.49395421,0.12418089,0.34608535,0.23044805,0.29103850,0.10503387,0.00636384,0.01615231,0.02862729,0.05642003,0.02036161
27,836,0.24798346,0.12960684,0.58676439,0.30567534,0.49326893,0.12215817,0.34748868,0.22730803,0.29142260,0.10326106,0.00627074,0.01607916,0.02821833,0.05657297,0.02004575
28,837,0.24781056,0.13225493,0.58888161,0.30491163,0.49240127,0.12306697,0.35181547,0.22531483,0.29240127,0.10302407,0.00632394,0.01607583,0.02801883,0.05674254,0.01999255
29,838,0.24768422,0.13500065,0.58861982,0.30602794,0.49120704,0.12504847,0.36547318,0.22509647,0.29382352,0.10191955,0.00643366,0.01635845,0.02812190,0.05705176,0.01978973
30,839,0.24814637,0.13788868,0.59156294,0.30250713,0.49039136,0.12696360,0.36975479,0.22076573,0.29927957,0.09908106,0.00653008,0.01649477,0.02755002,0.05814897,0.01925110
31,840,0.24905739,0.14048730,0.59238396,0.29974160,0.49384173,0.12856402,0.37727204,0.21790671,0.30782784,0.09589791,0.00659658,0.01670091,0.02719758,0.05983136,0.01863932
32,841,0.25223266,0.15898035,0.57872018,0.32510990,0.48594920,0.15885062,0.37652404,0.22991874,0.32245051,0.08061263,0.00814265,0.01653134,0.02869378,0.06272069,0.01568017
33,842,0.25088941,0.15883727,0.56874413,0.33198701,0.48367096,0.15883727,0.38944566,0.24941263,0.31305298,0.07973218,0.00813933,0.01653799,0.03141354,0.06093855,0.01552058
34,843,0.24953950,0.15583654,0.57275986,0.32889649,0.48362209,0.15583654,0.40015930,0.25019071,0.31125715,0.08049842,0.00794981,0.01670424,0.03162301,0.06062933,0.01568017
35,844,0.24796683,0.15340427,0.57901105,0.32228931,0.48143850,0.15333899,0.40566266,0.24376477,0.31106522,0.08059533,0.00781016,0.01672086,0.03087159,0.06059609,0.01570012
36,845,0.24616142,0.15335860,0.57484390,0.31816518,0.48020199,0.15296654,0.41431153,0.24010147,0.31171844,0.07995974,0.00778356,0.01676741,0.03052580,0.06075236,0.01558375
37,846,0.24538672,0.15606861,0.57373788,0.31897634,0.47938944,0.15593817,0.42211722,0.24144337,0.31117933,0.08024218,0.00794981,0.01693033,0.03067874,0.06066591,0.01564360
38,847,0.24352146,0.15505397,0.57460028,0.31463210,0.47709566,0.15472686,0.42407423,0.23758791,0.31389263,0.07932557,0.00786336,0.01702010,0.03010354,0.06121784,0.01547070
