z,abs_crossline,iou_3,iou_4,iou_5,iou_6
0,809,0.69648131,0.34805841,0.50616265,0.51741627
1,810,0.69501072,0.33717179,0.50067463,0.52258024
2,811,0.69379537,0.33131605,0.50563110,0.52611416
3,812,0.69521436,0.33091787,0.51606006,0.53053307
4,813,0.69630295,0.33027864,0.51782643,0.53229982
5,814,0.69231152,0.32792116,0.52001067,0.53245792
6,815,0.69126416,0.32829241,0.52189264,0.53294097
7,816,0.69097136,0.33125420,0.52348971,0.53348979
8,817,0.68691358,0.32456548,0.51730715,0.53026986
9,818,0.68724686,0.31759539,0.51243149,0.53345489
10,819,0.68725964,0.31230197,0.51302776,0.53540464
11,820,0.68873649,0.31284421,0.51537727,0.53633106
12,821,0.69293559,0.31014615,0.51714065,0.53671575
13,822,0.69057236,0.30277245,0.51405575,0.53536072
14,823,0.68972313,0.30329618,0.51400020,0.53211912
15,824,0.68216902,0.30554756,0.51137369,0.52813657
16,825,0.66476580,0.26722070,0.50437045,0.49518822
17,826,0.66071342,0.26173964,0.50518500,0.49963880
18,827,0.65914811,0.25699564,0.50668603,0.50190414
19,828,0.66018572,0.25451999,0.50975701,0.50406477
20,829,0.66114983,0.25464327,0.51145052,0.50527955
21,830,0.66011617,0.25407069,0.50863112,0.50578922
22,831,0.66194725,0.25585617,0.50613546,0.50547844
23,832,0.65985635,0.25921694,0.50172743,0.50309875
24,833,0.65698506,0.24348792,0.47666461,0.46874100
25,834,0.65661674,0.23611111,0.46759829,0.47292175
26,835,0.65715546,0.22956461,0.46432476,0.47395306
27,836,0.65856408,0.22493840,0.46457116,0.47342145
28,837,0.65691893,0.22366494,0.46549563,0.47393259
29,838,0.65251304,0.22187500,0.46644247,0.47555257
30,839,0.64914330,0.22313612,0.46580193,0.47660964
31,840,0.64557578,0.22428400,0.46412303,0.47332555
32,841,0.63150205,0.22459526,0.44080184,0.47785740
33,842,0.63103583,0.21484573,0.44474322,0.48447016
34,843,0.63131215,0.21026224,0.44983602,0.48503311
35,844,0.63337566,0.20849313,0.45579589,0.48594095
36,845,0.63334637,0.20969245,0.46054654,0.48684190
37,846,0.63057356,0.20890550,0.46079212,0.48775266
38,847,0.63003073,0.21151707,0.46200382,0.48986632
39,848,0.62646142,0.21317797,0.46042216,0.48881595
40,849,0.59468101,0.16330298,0.44160751,0.45514439
41,850,0.58047417,0.16962189,0.43707662,0.46111998
